input_prompt,true_ans,closest_ans,exact solution found
Bi[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]i[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]EttttTi[[111150000][100150660][100150660][111150000]]o,[[1111][1661][1661][1111]]F,[[1100][1006][1115][0110]]F,
Bi[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]i[[111150000][100150660][100150660][111150000]]to[[1111][1661][1661][1111]]EttttTi[[111153300][100153300][100153000][100150000]]o,[[1111][1001][1001][1001]]F,[[1133][1333][1111][2222]]F,
Bi[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]i[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]EttttTi[[111150000][100150660][100150660][111150000]]o,[[1111][1661][1661][1111]]F,[[1111][6666][1111][1111]]F,
Bi[[111150000][100150660][100150660][111150000]]to[[1111][1661][1661][1111]]i[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]EttttTi[[110050033][100150330][000153330][011153000]]o,[[1133][1331][3331][3111]]F,[[1100][1223][0133][0113]]F,
Bi[[111150000][100150660][100150660][111150000]]to[[1111][1661][1661][1111]]i[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]EttttTi[[111153300][100153300][100153000][100150000]]o,[[1111][1001][1001][1001]]F,[[1111][1103][0133][1001]]F,
Bi[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]i[[111150000][100150660][100150660][111150000]]to[[1111][1661][1661][1111]]EttttTi[[110050033][100150330][000153330][011153000]]o,[[1133][1331][3331][3111]]F,[[1100][1001][1001][0111]]F,
Bi[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]i[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]EttttTi[[111150000][100150660][100150660][111150000]]o,[[1111][1661][1661][1111]]F,[[1111][1001][6666][1111]]F,
Bi[[111150000][100150660][100150660][111150000]]to[[1111][1661][1661][1111]]i[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]EttttTi[[111153300][100153300][100153000][100150000]]o,[[1111][1001][1001][1001]]F,[[1111][1303][0001][1003]]F,
Bi[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]i[[111150000][100150660][100150660][111150000]]to[[1111][1661][1661][1111]]EttttTi[[111152000][011052222][011052000][000050000]]o,[[1111][0110][0110][0000]]F,[[1111][0100][0003][0000]]F,
Bi[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]i[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]EttttTi[[111150000][100150660][100150660][111150000]]o,[[1111][1661][1661][1111]]F,[[0111][1001][6601][1111]]F,
Bi[[111150000][100150660][100150660][111150000]]to[[1111][1661][1661][1111]]i[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]EttttTi[[110050033][100150330][000153330][011153000]]o,[[1133][1331][3331][3111]]F,[[1100][1133][0133][0111]]F,
Bi[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]i[[111150000][100150660][100150660][111150000]]to[[1111][1661][1661][1111]]EttttTi[[110050033][100150330][000153330][011153000]]o,[[1133][1331][3331][3111]]F,[[1100][1330][0133][1113]]F,
Bi[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]i[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]EttttTi[[111150000][100150660][100150660][111150000]]o,[[1111][1661][1661][1111]]F,[[1111][6661][1156][1111]]F,
Bi[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]i[[111150000][100150660][100150660][111150000]]to[[1111][1661][1661][1111]]EttttTi[[111150000][100050777][101150700][101050707]]o,[[1111][1777][1711][1717]]F,[[1115][1115][1151][1155]]F,
Bi[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]i[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]EttttTi[[111150000][100150660][100150660][111150000]]o,[[1111][1661][1661][1111]]F,[[1115][6666][1115][1111]]F,
Bi[[111150000][100150660][100150660][111150000]]to[[1111][1661][1661][1111]]i[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]EttttTi[[111152000][011052222][011052000][000050000]]o,[[1111][0110][0110][0000]]F,[[1115][1110][0000][0000]]F,
Bi[[111150000][100150660][100150660][111150000]]to[[1111][1661][1661][1111]]i[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]EttttTi[[111150000][100050777][101150700][101050707]]o,[[1111][1777][1711][1717]]F,[[1115][1100][3330][1150]]F,
Bi[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]i[[111150000][100150660][100150660][111150000]]to[[1111][1661][1661][1111]]EttttTi[[111152000][011052222][011052000][000050000]]o,[[1111][0110][0110][0000]]F,[[1111][1110][2112][0000]]F,
Bi[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]i[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]EttttTi[[111150000][100150660][100150660][111150000]]o,[[1111][1661][1661][1111]]F,[[1111][6661][1111][1111]]F,
Bi[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]i[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]EttttTi[[111150000][100150660][100150660][111150000]]o,[[1111][1661][1661][1111]]F,[[1111][6001][0166][1111]]F,
Bi[[111150000][100150660][100150660][111150000]]to[[1111][1661][1661][1111]]i[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]EttttTi[[111152000][011052222][011052000][000050000]]o,[[1111][0110][0110][0000]]F,[[1110][0112][0012][0033]]F,
Bi[[111150000][100150660][100150660][111150000]]to[[1111][1661][1661][1111]]i[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]EttttTi[[110050033][100150330][000153330][011153000]]o,[[1133][1331][3331][3111]]F,[[1100][1303][0133][0130]]F,
Bi[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]i[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]EttttTi[[111150000][100150660][100150660][111150000]]o,[[1111][1661][1661][1111]]F,[[1111][6666][1151][1111]]F,
Bi[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]i[[111150000][100150660][100150660][111150000]]to[[1111][1661][1661][1111]]EttttTi[[110050033][100150330][000153330][011153000]]o,[[1133][1331][3331][3111]]F,[[1100][1100][0001][0111]]F,
Bi[[111152200][100152200][100150000][111150000]]to[[1111][1001][1001][1111]]i[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]EttttTi[[111150000][100050777][101150700][101050707]]o,[[1111][1777][1711][1717]]F,[[1100][1100][1100][1000]]F,
Bi[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]i[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]EttttTi[[111152200][100152200][100150000][111150000]]o,[[1111][1001][1001][1111]]F,[[1100][1001][0100][1110]]F,
Bi[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]i[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]EttttTi[[111152200][100152200][100150000][111150000]]o,[[1111][1001][1001][1111]]F,[[1110][1221][1221][1111]]F,
Bi[[111152200][100152200][100150000][111150000]]to[[1111][1001][1001][1111]]i[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]EttttTi[[110050033][100150330][000153330][011153000]]o,[[1133][1331][3331][3111]]F,[[1100][1001][0001][0111]]F,
Bi[[111152200][100152200][100150000][111150000]]to[[1111][1001][1001][1111]]i[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]EttttTi[[111153300][100153300][100153000][100150000]]o,[[1111][1001][1001][1001]]F,[[1111][2001][0001][1001]]F,
Bi[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]i[[111152200][100152200][100150000][111150000]]to[[1111][1001][1001][1111]]EttttTi[[110050033][100150330][000153330][011153000]]o,[[1133][1331][3331][3111]]F,[[1100][1001][0101][1110]]F,
Bi[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]i[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]EttttTi[[111152200][100152200][100150000][111150000]]o,[[1111][1001][1001][1111]]F,[[1111][1000][0100][1110]]F,
Bi[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]i[[111152200][100152200][100150000][111150000]]to[[1111][1001][1001][1111]]EttttTi[[111153300][100153300][100153000][100150000]]o,[[1111][1001][1001][1001]]F,[[1115][1001][0103][0010]]F,
Bi[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]i[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]EttttTi[[111152200][100152200][100150000][111150000]]o,[[1111][1001][1001][1111]]F,[[1112][1001][0102][1111]]F,
Bi[[111152200][100152200][100150000][111150000]]to[[1111][1001][1001][1111]]i[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]EttttTi[[111152000][011052222][011052000][000050000]]o,[[1111][0110][0110][0000]]F,[[1111][0110][0000][0000]]F,
Bi[[111152200][100152200][100150000][111150000]]to[[1111][1001][1001][1111]]i[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]EttttTi[[111153300][100153300][100153000][100150000]]o,[[1111][1001][1001][1001]]F,[[1111][0001][1001][0001]]F,
Bi[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]i[[111152200][100152200][100150000][111150000]]to[[1111][1001][1001][1111]]EttttTi[[111152000][011052222][011052000][000050000]]o,[[1111][0110][0110][0000]]F,[[1100][0110][0001][0000]]F,
Bi[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]i[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]EttttTi[[111152200][100152200][100150000][111150000]]o,[[1111][1001][1001][1111]]F,[[0111][1000][1001][1111]]F,
Bi[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]i[[111152200][100152200][100150000][111150000]]to[[1111][1001][1001][1111]]EttttTi[[111153300][100153300][100153000][100150000]]o,[[1111][1001][1001][1001]]F,[[1111][1300][1303][0001]]F,
Bi[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]i[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]EttttTi[[111152200][100152200][100150000][111150000]]o,[[1111][1001][1001][1111]]F,[[0111][1001][0100][1111]]F,
Bi[[111152200][100152200][100150000][111150000]]to[[1111][1001][1001][1111]]i[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]EttttTi[[110050033][100150330][000153330][011153000]]o,[[1133][1331][3331][3111]]F,[[1100][1001][0133][0113]]F,
Bi[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]i[[111152200][100152200][100150000][111150000]]to[[1111][1001][1001][1111]]EttttTi[[110050033][100150330][000153330][011153000]]o,[[1133][1331][3331][3111]]F,[[1100][1001][0113][0113]]F,
Bi[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]i[[111152200][100152200][100150000][111150000]]to[[1111][1001][1001][1111]]EttttTi[[111150000][100050777][101150700][101050707]]o,[[1111][1777][1711][1717]]F,[[1110][8000][1150][7010]]F,
Bi[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]i[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]EttttTi[[111152200][100152200][100150000][111150000]]o,[[1111][1001][1001][1111]]F,[[1115][1103][1330][1110]]F,
Bi[[111152200][100152200][100150000][111150000]]to[[1111][1001][1001][1111]]i[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]EttttTi[[111152000][011052222][011052000][000050000]]o,[[1111][0110][0110][0000]]F,[[1112][0110][0000][0000]]F,
Bi[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]i[[111152200][100152200][100150000][111150000]]to[[1111][1001][1001][1111]]EttttTi[[111152000][011052222][011052000][000050000]]o,[[1111][0110][0110][0000]]F,[[1111][0110][0000][0000]]F,
Bi[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]i[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]EttttTi[[111152200][100152200][100150000][111150000]]o,[[1111][1001][1001][1111]]F,[[1112][1001][0100][1111]]F,
Bi[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]i[[111152200][100152200][100150000][111150000]]to[[1111][1001][1001][1111]]EttttTi[[111150000][100050777][101150700][101050707]]o,[[1111][1777][1711][1717]]F,[[1111][0000][1100][1110]]F,
Bi[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]i[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]EttttTi[[111152200][100152200][100150000][111150000]]o,[[1111][1001][1001][1111]]F,[[0111][1001][1100][1111]]F,
Bi[[111152200][100152200][100150000][111150000]]to[[1111][1001][1001][1111]]i[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]EttttTi[[111152000][011052222][011052000][000050000]]o,[[1111][0110][0110][0000]]F,[[1110][0110][0000][0000]]F,
Bi[[111152200][100152200][100150000][111150000]]to[[1111][1001][1001][1111]]i[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]EttttTi[[110050033][100150330][000153330][011153000]]o,[[1133][1331][3331][3111]]F,[[0100][1001][0013][0111]]F,
Bi[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]i[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]EttttTi[[111152200][100152200][100150000][111150000]]o,[[1111][1001][1001][1111]]F,[[1112][1002][0102][1110]]F,
Bi[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]i[[111152200][100152200][100150000][111150000]]to[[1111][1001][1001][1111]]EttttTi[[110050033][100150330][000153330][011153000]]o,[[1133][1331][3331][3111]]F,[[1100][1003][0103][0111]]F,
Bi[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]i[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]EttttTi[[111152200][100152200][100150000][111150000]]o,[[1111][1001][1001][1111]]F,[[0112][1002][1102][1120]]F,
Bi[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]i[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]EttttTi[[110050033][100150330][000153330][011153000]]o,[[1133][1331][3331][3111]]F,[[1003][1033][0103][0111]]F,
Bi[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]i[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]EttttTi[[111150000][100050777][101150700][101050707]]o,[[1111][1777][1711][1717]]F,[[1100][1100][1000][1110]]F,
Bi[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]i[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]EttttTi[[110050033][100150330][000153330][011153000]]o,[[1133][1331][3331][3111]]F,[[1100][1033][0130][0113]]F,
Bi[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]i[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]EttttTi[[111153300][100153300][100153000][100150000]]o,[[1111][1001][1001][1001]]F,[[1115][1133][0130][3001]]F,
Bi[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]i[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]EttttTi[[111152000][011052222][011052000][000050000]]o,[[1111][0110][0110][0000]]F,[[1111][0110][0000][0000]]F,
Bi[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]i[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]EttttTi[[111150000][100050777][101150700][101050707]]o,[[1111][1777][1711][1717]]F,[[1100][1100][1007][1010]]F,
Bi[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]i[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]EttttTi[[111152000][011052222][011052000][000050000]]o,[[1111][0110][0110][0000]]F,[[1111][0110][1100][0000]]F,
Bi[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]i[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]EttttTi[[111153300][100153300][100153000][100150000]]o,[[1111][1001][1001][1001]]F,[[1111][1003][0001][1003]]F,
Bi[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]i[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]EttttTi[[111152000][011052222][011052000][000050000]]o,[[1111][0110][0110][0000]]F,[[1110][0110][0000][0000]]F,
Bi[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]i[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]EttttTi[[110050033][100150330][000153330][011153000]]o,[[1133][1331][3331][3111]]F,[[0100][1203][0133][0100]]F,
Bi[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]i[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]EttttTi[[111152000][011052222][011052000][000050000]]o,[[1111][0110][0110][0000]]F,[[1115][0110][0000][0000]]F,
Bi[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]i[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]EttttTi[[111153300][100153300][100153000][100150000]]o,[[1111][1001][1001][1001]]F,[[1110][0110][2201][0010]]F,
Bi[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]i[[111153300][100153300][100153000][100150000]]to[[1111][1001][1001][1001]]EttttTi[[110050033][100150330][000153330][011153000]]o,[[1133][1331][3331][3111]]F,[[1100][1003][0133][0110]]F,
Bi[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]i[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]EttttTi[[111153300][100153300][100153000][100150000]]o,[[1111][1001][1001][1001]]F,[[1111][1001][0001][1001]]F,
Bi[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]i[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]EttttTi[[111152000][011052222][011052000][000050000]]o,[[1111][0110][0110][0000]]F,[[1110][0110][0112][0002]]F,
Bi[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]i[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]EttttTi[[110050033][100150330][000153330][011153000]]o,[[1133][1331][3331][3111]]F,[[1100][1103][0133][0110]]F,
Bi[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]i[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]EttttTi[[111150000][100050777][101150700][101050707]]o,[[1111][1777][1711][1717]]F,[[1115][1100][0110][1010]]F,
Bi[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]i[[111150000][100050777][101150700][101050707]]to[[1111][1777][1711][1717]]EttttTi[[110050033][100150330][000153330][011153000]]o,[[1133][1331][3331][3111]]F,[[1100][1221][0133][0113]]F,
Bi[[111152000][011052222][011052000][000050000]]to[[1111][0110][0110][0000]]i[[110050033][100150330][000153330][011153000]]to[[1133][1331][3331][3111]]EttttTi[[111150000][100050777][101150700][101050707]]o,[[1111][1777][1711][1717]]F,[[1100][7700][1100][1100]]F,
Bi[[07000300000300760302600][00000300004350000300000][00000330609320000302000][36080340000300001300600][00000340000300040300700][33333333333333333333333][20080300030300000300080][00603300600340000307000][00000300030303000300000][04300300902300303302000][80150305002300000300000][33333333333333333333333][00000302040305010300009][00090306010300000300001][00300300000300020300600][03000300000300004300003][60000300009300000300000][33333333333333333333333][00000307007300000300905][00000300070300000300000][00480300070300700300710][08000300700320000303000][05000300007300000300300]]to[[07007][00070][00070][00700][00007]]i[[43000200083210000208000280000][60000200000200740207404209050][00000209105206600200010200003][00000200800200200200030240100][00000240090209025200370200040][22222222222222222222222222222][60000260500200000206000200000][00700200300290000200000200700][70830200446200977220900200600][00000200000200003200400200500][00303200000200000200000255000][22222222222222222222222222222][00640200808200000200806200000][03007200000210016200000204003][00000280000200110209000202080][00500200880200000200000200000][10000200008200200210000200082][22222222222222222222222222222][00006200070200200200000200020][80000203200200003270007200000][00200246061208208200080205060][00000200000240000253400200000][30301200600200140200380200000][22222222222222222222222222222][00400260000230000240000200000][00700240308200000200003200005][04000202100230040200008200000][00000200090200065205000203000][00000206060200019270573200100]]to[[00808][00000][80000][00880][00008]]EttttttTi[[00000830000892000800000][40000840020860300890005][96000800100800800820040][77005800000800081800290][00030800000800200800000][88888888888888888888888][00142803000802000800000][02090803040800002800000][80000800500800022800083][00600891070802022800070][05009800040800020880053][88888888888888888888888][01070800239840090800040][06040801908800000808200][32094800060803800805000][00000800000800100800090][00200834000890000880003][88888888888888888888888][00040829060800020800030][06100830000802100800900][00055800025800001850306][00090810080820700800008][00000860080880002800047]]o,[[02000][00002][00022][02022][00020]]F,[[004][60004][40008][004444][000080]]F,
Bi[[43000200083210000208000280000][60000200000200740207404209050][00000209105206600200010200003][00000200800200200200030240100][00000240090209025200370200040][22222222222222222222222222222][60000260500200000206000200000][00700200300290000200000200700][70830200446200977220900200600][00000200000200003200400200500][00303200000200000200000255000][22222222222222222222222222222][00640200808200000200806200000][03007200000210016200000204003][00000280000200110209000202080][00500200880200000200000200000][10000200008200200210000200082][22222222222222222222222222222][00006200070200200200000200020][80000203200200003270007200000][00200246061208208200080205060][00000200000240000253400200000][30301200600200140200380200000][22222222222222222222222222222][00400260000230000240000200000][00700240308200000200003200005][04000202100230040200008200000][00000200090200065205000203000][00000206060200019270573200100]]to[[00808][00000][80000][00880][00008]]i[[00000830000892000800000][40000840020860300890005][96000800100800800820040][77005800000800081800290][00030800000800200800000][88888888888888888888888][00142803000802000800000][02090803040800002800000][80000800500800022800083][00600891070802022800070][05009800040800020880053][88888888888888888888888][01070800239840090800040][06040801908800000808200][32094800060803800805000][00000800000800100800090][00200834000890000880003][88888888888888888888888][00040829060800020800030][06100830000802100800900][00055800025800001850306][00090810080820700800008][00000860080880002800047]]to[[02000][00002][00022][02022][00020]]EttttttTi[[07000300000300760302600][00000300004350000300000][00000330609320000302000][36080340000300001300600][00000340000300040300700][33333333333333333333333][20080300030300000300080][00603300600340000307000][00000300030303000300000][04300300902300303302000][80150305002300000300000][33333333333333333333333][00000302040305010300009][00090306010300000300001][00300300000300020300600][03000300000300004300003][60000300009300000300000][33333333333333333333333][00000307007300000300905][00000300070300000300000][00480300070300700300710][08000300700320000303000][05000300007300000300300]]o,[[07007][00070][00070][00700][00007]]F,[0077][00004][003004][60000][000606]]F,
Bi[[00055005010500450005600][19050645004544050015055][00050005000504050405000][55555555555555555555555][00050085004500050005040][05050395010501050105010][10050075000500350605000][55555555555555555555555][00058045090507550005000][00450005008500650605406][01052005700502050705000][55555555555555555555555][00050005000550454005000][03850305000500050005408][00058005103507050805000][55555555555555555555555][07050005020500050005002][03052615080520950705007][00058005000508050045204][55555555555555555555555][07050005000503050085000][00150405303500053005030][00250035400508050005800]]to[[004][440][040]]i[[07000300000300760302600][00000300004350000300000][00000330609320000302000][36080340000300001300600][00000340000300040300700][33333333333333333333333][20080300030300000300080][00603300600340000307000][00000300030303000300000][04300300902300303302000][80150305002300000300000][33333333333333333333333][00000302040305010300009][00090306010300000300001][00300300000300020300600][03000300000300004300003][60000300009300000300000][33333333333333333333333][00000307007300000300905][00000300070300000300000][00480300070300700300710][08000300700320000303000][05000300007300000300300]]to[[07007][00070][00070][00700][00007]]EttttttTi[[43000200083210000208000280000][60000200000200740207404209050][00000209105206600200010200003][00000200800200200200030240100][00000240090209025200370200040][22222222222222222222222222222][60000260500200000206000200000][00700200300290000200000200700][70830200446200977220900200600][00000200000200003200400200500][00303200000200000200000255000][22222222222222222222222222222][00640200808200000200806200000][03007200000210016200000204003][00000280000200110209000202080][00500200880200000200000200000][10000200008200200210000200082][22222222222222222222222222222][00006200070200200200000200020][80000203200200003270007200000][00200246061208208200080205060][00000200000240000253400200000][30301200600200140200380200000][22222222222222222222222222222][00400260000230000240000200000][00700240308200000200003200005][04000202100230040200008200000][00000200090200065205000203000][00000206060200019270573200100]]o,[[00808][00000][80000][00880][00008]]F,[[0080808][48888880000][03888888888]]F,
Bi[[43000200083210000208000280000][60000200000200740207404209050][00000209105206600200010200003][00000200800200200200030240100][00000240090209025200370200040][22222222222222222222222222222][60000260500200000206000200000][00700200300290000200000200700][70830200446200977220900200600][00000200000200003200400200500][00303200000200000200000255000][22222222222222222222222222222][00640200808200000200806200000][03007200000210016200000204003][00000280000200110209000202080][00500200880200000200000200000][10000200008200200210000200082][22222222222222222222222222222][00006200070200200200000200020][80000203200200003270007200000][00200246061208208200080205060][00000200000240000253400200000][30301200600200140200380200000][22222222222222222222222222222][00400260000230000240000200000][00700240308200000200003200005][04000202100230040200008200000][00000200090200065205000203000][00000206060200019270573200100]]to[[00808][00000][80000][00880][00008]]i[[00055005010500450005600][19050645004544050015055][00050005000504050405000][55555555555555555555555][00050085004500050005040][05050395010501050105010][10050075000500350605000][55555555555555555555555][00058045090507550005000][00450005008500650605406][01052005700502050705000][55555555555555555555555][00050005000550454005000][03850305000500050005408][00058005103507050805000][55555555555555555555555][07050005020500050005002][03052615080520950705007][00058005000508050045204][55555555555555555555555][07050005000503050085000][00150405303500053005030][00250035400508050005800]]to[[004][440][040]]EttttttTi[[07000300000300760302600][00000300004350000300000][00000330609320000302000][36080340000300001300600][00000340000300040300700][33333333333333333333333][20080300030300000300080][00603300600340000307000][00000300030303000300000][04300300902300303302000][80150305002300000300000][33333333333333333333333][00000302040305010300009][00090306010300000300001][00300300000300020300600][03000300000300004300003][60000300009300000300000][33333333333333333333333][00000307007300000300905][00000300070300000300000][00480300070300700300710][08000300700320000303000][05000300007300000300300]]o,[[07007][00070][00070][00700][00007]]F,[[007][00004][80066][110000][060066]]F,
Bi[[060006600][666666666][066660000][660006600][066600606][400666604][066606600]]to[[060006600][666666666][066660000][660006600][066600606][488777784][066606600]]i[[060660606][478788884][066666660][006066006][487777884][000060006][606060060][478878774][660606600]]to[[060660606][460600004][066666660][006066006][406666004][000060006][606060060][460060664][660606600]]EttttTi[[606460046][606006006][066000060][666000066][600660006][666406640]]o,[[606460046][606806086][066800070][666800076][600760086][666406640]]F,[[040604040][660604006][060004060][666044460][606006006][606004060]]F,
Bi[[046604640][060006660][000600666][666000600][060600600][066066066][666606066][060666666][600060060][040064640]]to[[046604640][070007670][080608676][676008680][070608680][076067076][676607076][070667676][680068070][040064640]]i[[060006600][666666666][066660000][660006600][066600606][400666604][066606600]]to[[060006600][666666666][066660000][660006600][066600606][488777784][066606600]]EtttttTi[[060660606][478788884][066666660][006066006][487777884][000060006][606060060][478878774][660606600]]o,[[060660606][460600004][066666660][006066006][406666004][000060006][606060060][460060664][660606600]]F,[[004080404][4778448844][76677666][488444877][480040070][400884040][887777844][060888777][404040000]]F,
Bi[[046604640][060006660][000600666][666000600][060600600][066066066][666606066][060666666][600060060][040064640]]to[[046604640][070007670][080608676][676008680][070608680][076067076][676607076][070667676][680068070][040064640]]i[[060660606][478788884][066666660][006066006][487777884][000060006][606060060][478878774][660606600]]to[[060660606][460600004][066666660][006066006][406666004][000060006][606060060][460060664][660606600]]EttttTi[[606460046][606006006][066000060][666000066][600660006][666406640]]o,[[606460046][606806086][066800070][666800076][600760086][666406640]]F,[[064460406][606040060][060400060][606040066][600406040][604406040]]F,
